"","contrast","RAWMATERIAL","estimate","lower.HPD","upper.HPD"
"589","(STRAT_mod26.6 - STRAT_mod27.2) - (STRAT_mod27.2 - STRAT_mod29.6)","Silcrete",-0.591147463860042,-1.48558905497948,0.14862467321698
"590","(STRAT_mod26.6 - STRAT_mod27.2) - (STRAT_mod27.2 - STRAT_mod37.1)","Silcrete",-0.365358326957353,-1.14884006584682,0.466054278270062
"591","(STRAT_mod26.6 - STRAT_mod27.2) - (STRAT_mod27.2 - STRAT_mod49.8)","Silcrete",-0.653735901968345,-1.49982613895457,0.124134526832288
"592","(STRAT_mod26.6 - STRAT_mod27.2) - (STRAT_mod29.6 - STRAT_mod37.1)","Silcrete",-0.0359742371791397,-0.592351576391276,0.58707761285294
"593","(STRAT_mod26.6 - STRAT_mod27.2) - (STRAT_mod29.6 - STRAT_mod49.8)","Silcrete",-0.317113187916539,-0.921382391437334,0.249102428838474
"594","(STRAT_mod26.6 - STRAT_mod27.2) - (STRAT_mod37.1 - STRAT_mod49.8)","Silcrete",-0.548631115424839,-1.14133694260239,0.0387966113813518
"595","(STRAT_mod26.6 - STRAT_mod29.6) - (STRAT_mod26.6 - STRAT_mod37.1)","Silcrete",0.223408067382293,-0.189203633406708,0.647468317631641
"596","(STRAT_mod26.6 - STRAT_mod29.6) - (STRAT_mod26.6 - STRAT_mod49.8)","Silcrete",-0.0558553547557744,-0.474562173742306,0.321661773223769
"597","(STRAT_mod26.6 - STRAT_mod29.6) - (STRAT_mod27.2 - STRAT_mod29.6)","Silcrete",-0.261930797369552,-0.695545578198165,0.158089253568288
"598","(STRAT_mod26.6 - STRAT_mod29.6) - (STRAT_mod27.2 - STRAT_mod37.1)","Silcrete",-0.0359742371791397,-0.592351576391276,0.58707761285294
"599","(STRAT_mod26.6 - STRAT_mod29.6) - (STRAT_mod27.2 - STRAT_mod49.8)","Silcrete",-0.317113187916539,-0.921382391437334,0.249102428838474
"600","(STRAT_mod26.6 - STRAT_mod29.6) - (STRAT_mod29.6 - STRAT_mod37.1)","Silcrete",0.306119008047367,-0.399463832571306,0.995169754680726
